1st_Legion_Mercenary,0000670500000000000000000000000000000000,ROM/190/125.DAT,gob_
AaBho_Slashburner,0000990200000000000000000000000000000000,ROM/7/12.DAT,qua2
Aa_Nawu_the_Thunderblade,0000560200000000000000000000000000000000,ROM/6/84.DAT,yag1
AaNyu_Dismantler,00001D0400000000000000000000000000000000,ROM/130/116.DAT,ura_
Aa_Xalmo_the_Savage,0000240800000000000000000000000000000000,ROM5/6/57.DAT,yag2
Abenzio,0000280100000000000000000000000000000000,ROM/4/125.DAT,gg  
Abhac,00005C0100000000000000000000000000000000,ROM/5/23.DAT,fish
Abraxas,0000500100000000000000000000000000000000,ROM/5/17.DAT,bigb
Absolute_Virtue,0000620500000000000000000000000000000000,ROM3/10/77.DAT,tens
Abyssal_Demon,0000F20200000000000000000000000000000000,ROM/7/78.DAT,dem1
Abyssal_Pugil,00005C0100000000000000000000000000000000,ROM/5/23.DAT,fish
Abyssdweller_Jhabdebb,00007A0200000000000000000000000000000000,ROM/6/113.DAT,ork2
Abyssic_Cluster,0000220100000000000000000000000000000000,ROM/160/106.DAT,bomb
Abyssobugard,0000480500000000000000000000000000000000,ROM/165/118.DAT,dino
Abyss_Sahagin,0000330500000000000000000000000000000000,ROM2/23/49.DAT,sha_
Abyss_Worm,0000A90100000000000000000000000000000000,ROM/5/65.DAT,mimi
Abxzomit,0000100200000000000000000000000000000000,ROM/249/53.DAT,guar
Ace_of_Batons,0000AF0100000000000000000000000000000000,ROM/5/68.DAT,kaka
Ace_of_Coins,0000AF0100000000000000000000000000000000,ROM/5/68.DAT,kaka
Ace_of_Cups,0000AF0100000000000000000000000000000000,ROM/5/68.DAT,kaka
Ace_of_Swords,0000AF0100000000000000000000000000000000,ROM/5/68.DAT,kaka
Achamoth,0000100700000000000000000000000000000000,ROM/258/98.DAT,magm
Achamothcampa,00000A0700000000000000000000000000000000,ROM/258/96.DAT,pill
Achamoth_Nympha,0000100700000000000000000000000000000000,ROM/258/98.DAT,magm
Acid_Grease,0000240100000000000000000000000000000000,ROM/4/123.DAT,slim
Acrolith,0000F20600000000000000000000000000000000,ROM/258/95.DAT,mumb
Acrophies,0000140100000000000000000000000000000000,ROM/4/113.DAT,para
Acro_Bat,0000000100000000000000000000000000000000,ROM/172/68.DAT,bat 
Adamantking_Effigy,0000220400000000000000000000000000000000,ROM/130/121.DAT,ston
Adamantoise,0000900100000000000000000000000000000000,ROM/136/13.DAT,adam
Adamantshell,0000640100000000000000000000000000000000,ROM/5/27.DAT,kani
Adaman_Quadav,0000910200000000000000000000000000000000,ROM/7/4.DAT,qua1
Adamastor,0000C40200000000000000000000000000000000,ROM/7/55.DAT,gig0
Adasaurus,00003C0100000000000000000000000000000000,ROM/5/7.DAT,wyve
Addled_Tumor,0000400100000000000000000000000000000000,ROM/5/9.DAT,ogre
Adjudicator_Demon,0000AB0800000000000000000000000000000000,ROM/223/7.DAT,demo
Aerial_Torpedo,00001A0100000000000000000000000000000000,ROM/173/91.DAT,bomb
Aerns_Avatar,00001D0300000000000000000000000000000000,ROM/119/62.DAT,siva
Aerns_Elemental,00000F0000000000000000000000000000000000,ROM/97/65.DAT,ele_
Aerns_Euvhi,00000E0200000000000000000000000000000000,ROM/258/57.DAT,guar
Aerns_Wynav,0000120200000000000000000000000000000000,ROM3/10/27.DAT,guar
Aerns_Xzomit,0000100200000000000000000000000000000000,ROM/249/53.DAT,guar
Aestutaur,00004F0500000000000000000000000000000000,ROM/185/4.DAT,damo
Agas,0000080100000000000000000000000000000000,ROM/4/106.DAT,ahri
Aggressor_Antlion,0000430500000000000000000000000000000000,ROM/156/15.DAT,antl
Agloolik,0000160100000000000000000000000000000000,ROM/224/22.DAT,bomb
Agonizer,0000680400000000000000000000000000000000,ROM/249/58.DAT,utur
Agrios,0000120100000000000000000000000000000000,ROM/203/122.DAT,gig0
Ahriman,0000080100000000000000000000000000000000,ROM/4/106.DAT,ahri
Ahtu,0000840100000000000000000000000000000000,ROM/5/46.DAT,tren
Aht_Urhgan_Attercop,0000380100000000000000000000000000000000,ROM/119/74.DAT,kumo
Aiatar,00003E0100000000000000000000000000000000,ROM/97/81.DAT,wyve
Aipaloovik,00005C0100000000000000000000000000000000,ROM/5/23.DAT,fish
Airi,0000700100000000000000000000000000000000,ROM/5/36.DAT,ghos
Air_Elemental,0000B60100000000000000000000000000000000,ROM/5/73.DAT,ele_
Air_Pot,00009C0100000000000000000000000000000000,ROM/5/56.DAT,m_po
Aitvaras,0000A40100000000000000000000000000000000,ROM/5/62.DAT,shad
Ajattara,0000C50800000000000000000000000000000000,ROM/272/90.DAT,wyve
Ajido-Marujido,0000070300000000000000000000000000000000,ROM/125/76.DAT,btl_
Akash,0000170300000000000000000000000000000000,ROM/97/86.DAT,carb
Akbaba_LTP,0000BC0100000000000000000000000000000000,ROM/5/79.DAT,valt
Akrab,00001C0100000000000000000000000000000000,ROM/4/117.DAT,muka
Akselloak,0000160100000000000000000000000000000000,ROM/224/22.DAT,bomb
Alastor_Antlion,0000440500000000000000000000000000000000,ROM/156/16.DAT,antl
Albino_Antlion,0000430500000000000000000000000000000000,ROM/156/15.DAT,antl
Alexander,00002A0700000000000000000000000000000000,ROM4/12/122.DAT,alex
Alfard,0000050700000000000000000000000000000000,ROM/259/3.DAT,hydr
Alklha,0000A40100000000000000000000000000000000,ROM/5/62.DAT,shad
Alkonost,0000560500000000000000000000000000000000,ROM/266/122.DAT,kiri
Alkyoneus,0000830200000000000000000000000000000000,ROM/97/85.DAT,gig0
All-Seeing_Onyx_Eye,0000090100000000000000000000000000000000,ROM/4/107.DAT,ahri
Allied_Armored_Belfry,0000190900000000000000000000000000000000,ROM5/8/100.DAT,obj_
Allied_Belfry,0000190900000000000000000000000000000000,ROM5/8/100.DAT,obj_
Allied_Mantelet,0000170900000000000000000000000000000000,ROM5/8/98.DAT,obj_
Allocamelus,00004C0100000000000000000000000000000000,ROM/5/15.DAT,came
Allotaur,00004F0500000000000000000000000000000000,ROM/185/4.DAT,damo
Almighty_Apkallu,0000BB0600000000000000000000000000000000,ROM/258/87.DAT,peng
Almops,0000130100000000000000000000000000000000,ROM/203/123.DAT,gig0
Alpha_Gnole_Anders,0000F10700000000000000000000000000000000,ROM/302/85.DAT,were
Alraune,00002D0100000000000000000000000000000000,ROM/5/0.DAT,mame
Altedour_I_Tavnazia,0000280200000000000000000000000000000000,ROM/6/53.DAT,ds21
Amaltheia,0000580100000000000000000000000000000000,ROM/5/21.DAT,buff
Amaranth,0000E80700000000000000000000000000000000,ROM/207/9.DAT,raff
Amarok,0000010700000000000000000000000000000000,ROM/250/62.DAT,cerb
Amber_Quadav,00009A0200000000000000000000000000000000,ROM/7/13.DAT,qua2
Ambusher_Antlion,0000440500000000000000000000000000000000,ROM/156/16.DAT,antl
